"decimal", "smallest base in which the number is a palindrome"
755, 26
756, 5
757, 3
758, 13
759, 14
760, 23
761, 12
762, 19
763, 108
764, 190
765, 2
766, 4
767, 10
768, 15
769, 24
770, 34
771, 2
772, 192
773, 12
774, 42
775, 30
776, 11
777, 6
778, 21
779, 40
780, 29
781, 5
782, 33
783, 15
784, 3
785, 12
786, 130
787, 4
788, 14
789, 262
790, 78
791, 112
792, 32
793, 22
794, 18
795, 52
796, 198
797, 10
798, 11
799, 21
800, 7
801, 8
802, 14
803, 4
804, 66
805, 34
806, 5
807, 26
808, 10
809, 11
810, 13
811, 27
812, 18
813, 15
814, 36
815, 22
816, 14
817, 24
818, 10
819, 2
820, 3
821, 12
822, 20
823, 13
824, 102
825, 32
826, 25
827, 826
828, 10
829, 23
830, 14
831, 5
832, 31
833, 12
834, 138
835, 16
836, 13
837, 22
838, 10
839, 4
840, 29
841, 21
842, 11
843, 2
844, 14
845, 12
846, 46
847, 3
848, 10
849, 282
850, 13
851, 16
852, 17
853, 852
854, 11
855, 4
856, 5
857, 12
858, 10
859, 22
860, 42
861, 6
862, 20
863, 13
864, 31
865, 11
866, 18
867, 16
868, 6
869, 28
870, 12
871, 4
872, 14
873, 8
874, 3
875, 23
876, 11
877, 876
878, 10
879, 292
880, 39
881, 22
882, 12
883, 16
884, 18
885, 26
886, 5
887, 4
888, 10
889, 13
890, 88
891, 2
892, 27
893, 46
894, 12
895, 19
896, 31
897, 28
898, 10
899, 16
900, 14
901, 25
902, 13
903, 2
904, 15
905, 21
906, 12
907, 4
908, 226
909, 10
910, 3
911, 5
912, 7
913, 24
914, 14
915, 13
916, 228
917, 130
918, 12
919, 10
920, 11
921, 17
922, 20
923, 4
924, 32
925, 22
926, 21
927, 102
928, 13
929, 10
930, 12
931, 11
932, 232
933, 19
934, 15
935, 54
936, 5
937, 3
938, 17
939, 4
940, 46
941, 13
942, 11
943, 40
944, 23
945, 8
946, 27
947, 16
948, 78
949, 10
950, 37
951, 2
952, 6
953, 11
954, 12
955, 4
956, 14
957, 32
958, 29
959, 10
960, 31
